,alert_type,timestamp,src_ip,src_port,dst_ip,dst_port,infected_host,scanned_host,alert_type_2,timestamp_2,src_ip_2,src_port_2,dst_ip_2,dst_port_2,infected_host_2,scanned_host_2,score,APT
49,2.0,27051.0,263.0,65019.0,340.0,80.0,263.0,0.0,6.0,1041727.0,403.0,54285.0,322.0,22291.0,263.0,0.0,2.0,0.0
50,1.0,27097.0,70.0,58605.0,5379.0,80.0,70.0,0.0,6.0,707847.0,70.0,51834.0,7298.0,53.0,70.0,0.0,3.0,1.0
51,1.0,28481.0,335.0,58366.0,8774.0,80.0,335.0,0.0,5.0,74741.0,335.0,50798.0,3156.0,443.0,335.0,0.0,3.0,1.0
52,1.0,29819.0,279.0,50634.0,3192.0,80.0,279.0,0.0,6.0,210692.0,279.0,55332.0,308.0,53.0,279.0,0.0,1.0,0.0
53,2.0,29827.0,168.0,61996.0,6698.0,80.0,168.0,0.0,6.0,103153.0,168.0,61439.0,460.0,53.0,168.0,0.0,3.0,1.0
54,3.0,29968.0,289.0,59691.0,264.0,53.0,289.0,0.0,4.0,797171.0,289.0,63088.0,1089.0,443.0,289.0,0.0,1.0,0.0
55,3.0,30989.0,197.0,51564.0,331.0,53.0,361.0,0.0,5.0,32518.0,361.0,52807.0,5900.0,443.0,361.0,0.0,1.0,0.0
56,3.0,31987.0,361.0,59377.0,8916.0,53.0,361.0,0.0,5.0,435586.0,361.0,56404.0,5095.0,443.0,361.0,0.0,1.0,0.0
57,1.0,33359.0,109.0,64821.0,348.0,80.0,261.0,0.0,6.0,403051.0,261.0,60915.0,201.0,53.0,261.0,0.0,2.0,0.0
58,2.0,33540.0,120.0,59020.0,168.0,80.0,120.0,0.0,5.0,1207601.0,120.0,51119.0,6830.0,443.0,120.0,0.0,2.0,0.0
59,2.0,35647.0,378.0,62831.0,6792.0,80.0,378.0,0.0,6.0,1009443.0,378.0,50825.0,169.0,53.0,378.0,0.0,3.0,1.0
60,3.0,37925.0,256.0,60693.0,137.0,53.0,256.0,0.0,4.0,269831.0,256.0,57074.0,1068.0,443.0,256.0,0.0,3.0,1.0
61,2.0,38608.0,293.0,55600.0,491.0,80.0,293.0,0.0,4.0,104877.0,293.0,61104.0,1013.0,43332.0,293.0,0.0,3.0,1.0
62,2.0,38676.0,255.0,49755.0,479.0,80.0,255.0,0.0,4.0,913177.0,255.0,56272.0,1080.0,443.0,255.0,0.0,3.0,1.0
63,2.0,40316.0,479.0,63037.0,2001.0,80.0,324.0,0.0,4.0,970850.0,324.0,51971.0,1042.0,443.0,324.0,0.0,1.0,0.0
64,3.0,40339.0,380.0,63587.0,245.0,53.0,380.0,0.0,5.0,401536.0,380.0,59839.0,4973.0,443.0,380.0,0.0,3.0,1.0
65,2.0,40714.0,459.0,51388.0,7570.0,80.0,459.0,0.0,4.0,102612.0,459.0,60724.0,1002.0,443.0,459.0,0.0,3.0,1.0
66,2.0,43342.0,471.0,58785.0,1851.0,80.0,409.0,0.0,4.0,415085.0,409.0,61234.0,1021.0,443.0,409.0,0.0,2.0,0.0
67,2.0,44221.0,308.0,52734.0,1105.0,80.0,308.0,0.0,6.0,242403.0,308.0,57856.0,4539.0,53.0,308.0,0.0,3.0,1.0
68,1.0,44392.0,367.0,52307.0,4608.0,80.0,367.0,0.0,4.0,519727.0,367.0,49407.0,1086.0,443.0,367.0,0.0,2.0,0.0
69,2.0,44519.0,416.0,51755.0,5071.0,80.0,416.0,0.0,6.0,79004.0,120.0,59998.0,32.0,53.0,416.0,0.0,3.0,1.0
70,2.0,44885.0,437.0,60493.0,3305.0,80.0,437.0,0.0,6.0,86042.0,437.0,55466.0,296.0,53.0,437.0,0.0,3.0,1.0
71,1.0,46706.0,220.0,58660.0,30.0,80.0,220.0,0.0,6.0,127134.0,220.0,50320.0,428.0,53.0,220.0,0.0,3.0,1.0
72,3.0,47443.0,200.0,57483.0,122.0,53.0,111.0,0.0,6.0,214621.0,111.0,64523.0,134.0,53.0,111.0,0.0,3.0,1.0
73,1.0,47669.0,432.0,55165.0,61.0,80.0,432.0,0.0,6.0,1206024.0,432.0,53662.0,64.0,23439.0,432.0,0.0,3.0,1.0
74,3.0,48382.0,91.0,59059.0,198.0,53.0,91.0,0.0,4.0,906733.0,30.0,53644.0,1080.0,16932.0,91.0,0.0,3.0,1.0
75,3.0,49243.0,366.0,51362.0,4610.0,53.0,366.0,0.0,5.0,414270.0,366.0,53891.0,5218.0,443.0,366.0,0.0,3.0,1.0
76,1.0,50251.0,411.0,59006.0,5990.0,80.0,411.0,0.0,4.0,96660.0,411.0,54950.0,1052.0,64637.0,411.0,0.0,3.0,1.0
77,3.0,50417.0,479.0,50783.0,133.0,7521.0,479.0,0.0,6.0,558268.0,479.0,59999.0,1723.0,53.0,479.0,0.0,1.0,0.0
78,3.0,51227.0,95.0,51613.0,120.0,53.0,95.0,0.0,6.0,159786.0,95.0,56361.0,496.0,53.0,95.0,0.0,3.0,1.0
79,3.0,52101.0,487.0,51007.0,40.0,53.0,487.0,0.0,6.0,713861.0,487.0,60881.0,498.0,53.0,487.0,0.0,3.0,1.0
80,3.0,52205.0,76.0,63318.0,338.0,53.0,76.0,0.0,4.0,728443.0,76.0,57810.0,1054.0,443.0,76.0,0.0,3.0,1.0
81,1.0,52484.0,137.0,58571.0,59.0,80.0,137.0,0.0,4.0,727892.0,137.0,55695.0,1060.0,443.0,137.0,0.0,1.0,0.0
82,1.0,52785.0,379.0,60842.0,7150.0,80.0,379.0,0.0,5.0,115150.0,379.0,56000.0,15.0,59788.0,379.0,0.0,1.0,0.0
83,1.0,53247.0,15.0,55256.0,77.0,80.0,15.0,0.0,5.0,172327.0,15.0,60251.0,2302.0,443.0,15.0,0.0,3.0,1.0
84,1.0,53452.0,484.0,56393.0,309.0,80.0,484.0,0.0,4.0,263827.0,484.0,60534.0,1062.0,443.0,484.0,0.0,1.0,0.0
85,1.0,53861.0,359.0,62531.0,5764.0,80.0,359.0,0.0,6.0,159590.0,359.0,53708.0,3101.0,53.0,359.0,0.0,3.0,1.0
86,3.0,53910.0,106.0,57660.0,328.0,53.0,106.0,0.0,4.0,126475.0,106.0,49936.0,1037.0,443.0,106.0,0.0,3.0,1.0
87,3.0,54420.0,147.0,63557.0,7278.0,53.0,147.0,0.0,6.0,883821.0,147.0,54184.0,245.0,24348.0,147.0,0.0,3.0,1.0
88,2.0,55753.0,111.0,53003.0,1960.0,80.0,111.0,0.0,6.0,362569.0,111.0,58247.0,12.0,53.0,111.0,0.0,2.0,0.0
89,1.0,55840.0,192.0,49793.0,3552.0,80.0,192.0,0.0,4.0,215873.0,266.0,65350.0,1080.0,443.0,192.0,0.0,1.0,0.0
90,1.0,56262.0,285.0,54022.0,451.0,80.0,285.0,0.0,6.0,700627.0,285.0,57774.0,103.0,13459.0,285.0,0.0,2.0,0.0
91,2.0,56563.0,350.0,57433.0,455.0,80.0,350.0,0.0,5.0,87053.0,350.0,52725.0,4327.0,443.0,350.0,0.0,3.0,1.0
92,3.0,57127.0,497.0,50472.0,2701.0,53.0,497.0,0.0,4.0,498043.0,497.0,56550.0,1043.0,443.0,497.0,0.0,3.0,1.0
93,1.0,58218.0,482.0,54375.0,112.0,80.0,482.0,0.0,5.0,75731.0,482.0,61019.0,260.0,443.0,482.0,0.0,3.0,1.0
94,2.0,58368.0,7.0,60081.0,2834.0,80.0,7.0,0.0,5.0,358524.0,7.0,58169.0,4089.0,443.0,7.0,0.0,2.0,0.0
95,2.0,58762.0,379.0,52824.0,2302.0,80.0,379.0,0.0,5.0,811939.0,379.0,63808.0,440.0,22211.0,379.0,0.0,1.0,0.0
96,3.0,59492.0,92.0,54936.0,341.0,46611.0,92.0,0.0,6.0,854911.0,92.0,56211.0,81.0,53.0,92.0,0.0,1.0,0.0
97,1.0,59763.0,98.0,60008.0,48.0,80.0,98.0,0.0,6.0,92275.0,98.0,63715.0,215.0,53.0,98.0,0.0,2.0,0.0
98,2.0,60859.0,60.0,53417.0,183.0,80.0,60.0,0.0,6.0,459578.0,60.0,63721.0,5081.0,53.0,60.0,0.0,3.0,1.0
99,1.0,62121.0,399.0,53950.0,6283.0,80.0,399.0,0.0,6.0,217981.0,399.0,55958.0,9138.0,53.0,399.0,0.0,3.0,1.0
100,1.0,62280.0,452.0,63487.0,3793.0,80.0,452.0,0.0,5.0,175454.0,452.0,57746.0,4958.0,49004.0,452.0,0.0,3.0,1.0
101,3.0,62904.0,408.0,50469.0,364.0,53.0,408.0,0.0,6.0,333739.0,297.0,53955.0,425.0,53.0,408.0,0.0,3.0,1.0
102,3.0,64002.0,283.0,53117.0,447.0,53.0,283.0,0.0,5.0,431272.0,283.0,52619.0,7796.0,13348.0,283.0,0.0,1.0,0.0
103,3.0,64039.0,29.0,58125.0,1526.0,32752.0,29.0,0.0,6.0,297121.0,29.0,54124.0,278.0,53.0,29.0,0.0,3.0,1.0
104,2.0,64254.0,361.0,55668.0,7498.0,80.0,361.0,0.0,5.0,1001599.0,361.0,63708.0,8292.0,443.0,361.0,0.0,1.0,0.0
105,3.0,66372.0,36.0,58496.0,286.0,53.0,36.0,0.0,4.0,310915.0,36.0,53818.0,1040.0,443.0,36.0,0.0,2.0,0.0
106,3.0,66831.0,59.0,56741.0,103.0,53.0,59.0,0.0,5.0,432789.0,59.0,57182.0,9273.0,443.0,59.0,0.0,1.0,0.0
107,2.0,70265.0,187.0,52240.0,6998.0,80.0,187.0,0.0,6.0,97999.0,187.0,49596.0,161.0,53.0,187.0,0.0,3.0,1.0
108,3.0,70833.0,38.0,55256.0,3081.0,53.0,38.0,0.0,4.0,319108.0,38.0,52910.0,1024.0,443.0,38.0,0.0,3.0,1.0
109,1.0,71092.0,159.0,49361.0,8443.0,80.0,159.0,0.0,6.0,310632.0,159.0,50404.0,5654.0,53.0,159.0,0.0,3.0,1.0
110,2.0,71234.0,25.0,60131.0,3735.0,80.0,25.0,0.0,5.0,92584.0,25.0,56179.0,1522.0,443.0,25.0,0.0,2.0,0.0
111,2.0,72727.0,491.0,56526.0,5074.0,18722.0,491.0,0.0,5.0,526698.0,491.0,56597.0,491.0,443.0,491.0,0.0,2.0,0.0
112,1.0,72848.0,488.0,59314.0,3783.0,80.0,488.0,0.0,6.0,475741.0,488.0,61821.0,2.0,53.0,488.0,0.0,3.0,1.0
113,1.0,73103.0,59.0,62514.0,9820.0,80.0,59.0,0.0,5.0,601302.0,59.0,58363.0,5448.0,443.0,59.0,0.0,1.0,0.0
114,1.0,73737.0,32.0,52461.0,9023.0,80.0,32.0,0.0,6.0,334155.0,32.0,51468.0,138.0,53.0,32.0,0.0,3.0,1.0
115,1.0,75845.0,389.0,64514.0,6469.0,80.0,389.0,0.0,4.0,1187522.0,389.0,58601.0,9388.0,443.0,389.0,0.0,2.0,0.0
116,2.0,77561.0,20.0,65239.0,3851.0,80.0,20.0,0.0,6.0,112631.0,20.0,53790.0,8875.0,53.0,20.0,0.0,3.0,1.0
117,1.0,79066.0,200.0,62388.0,1808.0,80.0,200.0,0.0,4.0,230499.0,200.0,64837.0,2792.0,443.0,200.0,0.0,3.0,1.0
118,2.0,79267.0,336.0,54212.0,72.0,45798.0,336.0,0.0,5.0,100136.0,336.0,56142.0,7360.0,443.0,336.0,0.0,2.0,0.0
119,2.0,79705.0,366.0,60708.0,6249.0,16643.0,366.0,0.0,5.0,940342.0,366.0,60556.0,2807.0,443.0,366.0,0.0,3.0,1.0
120,1.0,81319.0,405.0,58376.0,7759.0,80.0,434.0,0.0,5.0,465409.0,434.0,55845.0,153.0,443.0,434.0,0.0,3.0,1.0
121,2.0,83972.0,307.0,55416.0,1216.0,80.0,307.0,0.0,4.0,232558.0,307.0,63045.0,1065.0,443.0,307.0,0.0,3.0,1.0
122,2.0,83975.0,38.0,51098.0,446.0,80.0,38.0,0.0,4.0,821217.0,38.0,56095.0,1084.0,443.0,38.0,0.0,3.0,1.0
123,1.0,84040.0,384.0,63455.0,233.0,80.0,384.0,0.0,4.0,237118.0,384.0,62018.0,2882.0,1474.0,384.0,0.0,2.0,0.0
124,1.0,84101.0,131.0,57992.0,5535.0,80.0,131.0,0.0,5.0,202778.0,131.0,51529.0,7881.0,443.0,131.0,0.0,3.0,1.0
125,3.0,84720.0,496.0,62253.0,7499.0,53.0,496.0,0.0,4.0,432993.0,496.0,51259.0,2747.0,443.0,496.0,0.0,2.0,0.0
126,3.0,86264.0,252.0,61250.0,416.0,53.0,252.0,0.0,5.0,745171.0,300.0,55848.0,224.0,443.0,252.0,0.0,3.0,1.0
127,2.0,88388.0,148.0,60171.0,7379.0,80.0,148.0,0.0,4.0,996940.0,148.0,62704.0,1065.0,443.0,148.0,0.0,2.0,0.0
128,3.0,88767.0,488.0,55986.0,361.0,53.0,130.0,0.0,6.0,1175202.0,130.0,56361.0,108.0,53.0,130.0,0.0,1.0,0.0
129,3.0,89263.0,78.0,51977.0,3.0,53.0,78.0,0.0,5.0,372252.0,78.0,63576.0,93.0,443.0,78.0,0.0,1.0,0.0
130,2.0,89324.0,114.0,62908.0,370.0,80.0,114.0,0.0,4.0,533982.0,114.0,50786.0,6679.0,443.0,114.0,0.0,1.0,0.0
131,3.0,89496.0,368.0,58473.0,7722.0,19753.0,368.0,0.0,5.0,195180.0,117.0,52474.0,1214.0,443.0,368.0,0.0,3.0,1.0
132,3.0,89684.0,107.0,64829.0,441.0,53.0,107.0,0.0,6.0,211862.0,107.0,62932.0,6562.0,38269.0,107.0,0.0,1.0,0.0
133,3.0,89748.0,200.0,62537.0,46.0,53.0,104.0,0.0,5.0,344049.0,104.0,56323.0,9503.0,443.0,104.0,0.0,2.0,0.0
134,2.0,90911.0,342.0,61268.0,7429.0,80.0,342.0,0.0,5.0,109999.0,342.0,62648.0,8934.0,443.0,342.0,0.0,1.0,0.0
135,3.0,91021.0,190.0,57987.0,436.0,53.0,190.0,0.0,6.0,235619.0,190.0,51158.0,294.0,53.0,190.0,0.0,3.0,1.0
136,2.0,91759.0,147.0,50731.0,4449.0,80.0,147.0,0.0,4.0,945832.0,147.0,57799.0,1090.0,443.0,147.0,0.0,1.0,0.0
137,2.0,93454.0,314.0,56641.0,6300.0,80.0,314.0,0.0,6.0,289412.0,314.0,62817.0,130.0,53.0,314.0,0.0,3.0,1.0
138,1.0,93557.0,483.0,64829.0,2397.0,80.0,483.0,0.0,5.0,386158.0,483.0,50684.0,5244.0,443.0,483.0,0.0,3.0,1.0
139,3.0,93614.0,37.0,49681.0,374.0,53.0,37.0,0.0,4.0,609529.0,167.0,57117.0,6409.0,443.0,37.0,0.0,2.0,0.0
140,1.0,94306.0,349.0,55838.0,4642.0,80.0,349.0,0.0,5.0,267550.0,349.0,52794.0,3226.0,443.0,349.0,0.0,1.0,0.0
141,2.0,95314.0,362.0,57318.0,9873.0,80.0,362.0,0.0,5.0,331124.0,362.0,57507.0,7583.0,443.0,362.0,0.0,3.0,1.0
142,2.0,95416.0,197.0,65058.0,3995.0,80.0,197.0,0.0,5.0,277731.0,197.0,53356.0,5385.0,443.0,197.0,0.0,1.0,0.0
143,2.0,96658.0,321.0,61104.0,101.0,80.0,321.0,0.0,6.0,929064.0,321.0,61330.0,89.0,53.0,321.0,0.0,3.0,1.0
144,1.0,96987.0,171.0,54684.0,2327.0,80.0,430.0,0.0,4.0,704863.0,171.0,50690.0,1055.0,20764.0,430.0,0.0,1.0,0.0
145,3.0,97136.0,70.0,54045.0,1851.0,53.0,70.0,0.0,5.0,1053443.0,70.0,51270.0,8608.0,443.0,70.0,0.0,2.0,0.0
146,3.0,97488.0,292.0,64113.0,306.0,53.0,292.0,0.0,5.0,1289708.0,292.0,62648.0,7373.0,443.0,292.0,0.0,2.0,0.0
147,2.0,97490.0,325.0,56140.0,9667.0,80.0,325.0,0.0,5.0,735730.0,325.0,59475.0,5672.0,443.0,325.0,0.0,2.0,0.0
148,3.0,98427.0,427.0,50406.0,494.0,53.0,427.0,0.0,6.0,1004460.0,427.0,57945.0,441.0,53.0,427.0,0.0,1.0,0.0
149,3.0,98796.0,351.0,55847.0,5402.0,53.0,351.0,0.0,6.0,111576.0,351.0,55433.0,2117.0,53.0,351.0,0.0,3.0,1.0
150,1.0,98827.0,286.0,52685.0,8624.0,80.0,169.0,0.0,5.0,510705.0,169.0,60377.0,8822.0,443.0,169.0,0.0,3.0,1.0
151,3.0,99692.0,348.0,51645.0,364.0,53.0,348.0,0.0,5.0,412136.0,348.0,56786.0,4327.0,443.0,348.0,0.0,2.0,0.0
152,3.0,99869.0,64.0,61028.0,438.0,53.0,64.0,0.0,4.0,376215.0,313.0,58504.0,8911.0,443.0,64.0,0.0,1.0,0.0
153,2.0,100049.0,54.0,54887.0,8739.0,80.0,54.0,0.0,6.0,373762.0,319.0,49881.0,139.0,53.0,54.0,0.0,2.0,0.0
154,3.0,100730.0,313.0,56384.0,8901.0,53.0,313.0,0.0,5.0,432522.0,313.0,60484.0,7011.0,50623.0,313.0,0.0,3.0,1.0
155,1.0,100989.0,16.0,51640.0,6883.0,33651.0,16.0,0.0,5.0,230456.0,16.0,63175.0,6035.0,443.0,16.0,0.0,3.0,1.0
156,3.0,101335.0,135.0,52319.0,349.0,53.0,135.0,0.0,4.0,177171.0,238.0,65517.0,2850.0,443.0,135.0,0.0,2.0,0.0
157,3.0,102344.0,68.0,52778.0,7748.0,53.0,68.0,0.0,6.0,115352.0,68.0,63047.0,14.0,5639.0,68.0,0.0,3.0,1.0
158,3.0,103260.0,233.0,53671.0,322.0,53.0,233.0,0.0,5.0,327581.0,233.0,64341.0,84.0,12142.0,233.0,0.0,3.0,1.0
159,2.0,103780.0,152.0,52154.0,4472.0,80.0,152.0,0.0,5.0,454347.0,152.0,60864.0,9529.0,443.0,152.0,0.0,1.0,0.0
160,2.0,103935.0,294.0,62387.0,6433.0,80.0,294.0,0.0,4.0,613359.0,294.0,60589.0,8548.0,443.0,294.0,0.0,1.0,0.0
161,2.0,104559.0,275.0,62777.0,8362.0,80.0,275.0,0.0,6.0,504812.0,275.0,63537.0,96.0,53.0,275.0,0.0,1.0,0.0
162,2.0,104915.0,423.0,53470.0,219.0,44613.0,423.0,0.0,5.0,105559.0,423.0,59944.0,133.0,443.0,423.0,0.0,2.0,0.0
163,3.0,105327.0,254.0,65203.0,9494.0,53.0,254.0,0.0,5.0,1155090.0,254.0,64914.0,2920.0,443.0,254.0,0.0,3.0,1.0
164,1.0,105570.0,289.0,50952.0,5342.0,80.0,289.0,0.0,5.0,1285281.0,470.0,55440.0,9383.0,443.0,289.0,0.0,1.0,0.0
165,2.0,108685.0,477.0,58024.0,39.0,80.0,477.0,0.0,5.0,206751.0,477.0,65081.0,9528.0,443.0,477.0,0.0,1.0,0.0
166,3.0,108870.0,74.0,62389.0,21.0,53.0,74.0,0.0,4.0,163276.0,74.0,62905.0,1090.0,443.0,74.0,0.0,1.0,0.0
167,1.0,109432.0,248.0,50378.0,8396.0,13917.0,248.0,0.0,5.0,147033.0,248.0,53475.0,9439.0,443.0,248.0,0.0,2.0,0.0
168,2.0,109965.0,185.0,64250.0,7894.0,80.0,185.0,0.0,4.0,707780.0,185.0,65031.0,1027.0,443.0,185.0,0.0,3.0,1.0
169,3.0,110057.0,367.0,56629.0,263.0,53.0,367.0,0.0,4.0,538210.0,367.0,53155.0,1039.0,443.0,367.0,0.0,2.0,0.0
170,2.0,110629.0,43.0,54403.0,4203.0,80.0,43.0,0.0,4.0,600917.0,43.0,52311.0,7444.0,443.0,43.0,0.0,1.0,0.0
171,3.0,111093.0,268.0,59412.0,242.0,18319.0,268.0,0.0,4.0,1271535.0,268.0,52727.0,8864.0,443.0,268.0,0.0,3.0,1.0
172,2.0,112152.0,151.0,56977.0,4566.0,80.0,151.0,0.0,6.0,150248.0,151.0,65445.0,56.0,53.0,151.0,0.0,3.0,1.0
